term,definition,mention_count,synonyms,frequency_score,relevance_score,consistency_score,importance_score,remarks
Agent,"An autonomous software entity that can perform tasks independently or collaboratively with other agents. Agents perceive their environment, maintain internal state, and take actions based on instructions or goals.",48,[],3,3,2,8,
Vector Database,"A specialized database that stores high-dimensional embeddings for semantic similarity search, enabling agents to retrieve relevant information based on meaning rather than exact keyword matches.",41,"['VectorDB', 'Storage Instance(1)']",3,3,1,7,"Synonyms indicate specialization (e.g., Storage Instance)"
Workflow,"A deterministic sequence of steps defining a process or execution path for agents. Workflows orchestrate multiple operations, tools, or agent interactions to accomplish complex tasks.",40,[],3,3,2,8,
Tool,"A utility or function that an agent can invoke to perform specific operations. Tools are often external APIs, database queries, or computational functions that extend the agent's capabilities beyond language generation.",37,[],3,3,2,8,
Memory,"The mechanism by which an agent stores and retrieves information across interactions. Memory systems handle conversation history, learned facts, and contextual knowledge to enable stateful behavior.",32,[],3,3,2,8,
RAG,"A technique used in retrieval functions, where data is retrieved from external sources to augment the generation process, often improving performance and accuracy.",1,[],1,3,2,6,
Context,"The surrounding information or environment in which an agent operates, including user preferences, conversation history, and external data sources. Context is essential for agents to understand the nuances of a situation and provide relevant responses.",9,[],2,2,2,6,
Task,"A class that wraps an Agent, giving instructions (or roles, or goals), managing iteration over an Agent's responder methods, and orchestrating multi-agent interactions via hierarchical task-delegation.",9,[],2,3,2,7,Core for workflow execution
Model,A trained machine learning component (often a language model) that processes input and produces output. It may be pre-trained or fine-tuned for specific tasks.,7,"['LLM(4)', 'LLM (Large Language Model)(4)', 'Provider(7)', 'Backend(7)']",2,3,1,6,LLM is a specialization of Model
Team,A collection of agents using some coordination strategy to work together on complex tasks.,4,"['Crew(2)', 'Multi-Agent System(2)', 'Agent Group(3)']",1,3,1,5,Core multi-agent collaboration pattern
Session,"A temporary connection between an agent and a user, during which the agent processes input, generates output, and maintains internal state. Sessions enable agents to engage in conversations, track progress, and adapt to changing user needs.",10,[],2,2,2,6,
Prompt,"A sequence of words or characters that serves as input to a language model, guiding the generation of a response or output. Prompts can be simple questions, complex instructions, or even entire conversations.",7,[],2,2,2,6,
Planning,"A capability of the kernel that enables agents to create plans or workflows for achieving specific goals. Planning involves analyzing tasks, resources, and constraints to determine an optimal course of action.",2,[],1,2,2,5,Important for task orchestration
Plugin,"A group of functions that can be exposed to AI apps and services, encapsulating a set of functionality that mirrors how enterprise developers already develop services and APIs.",2,[],1,2,2,5,
Fine-Tuning,"The process of adjusting a pre-trained AI model to fit specific tasks, datasets, or objectives. Fine-tuning involves retraining the model on new data or modifying its architecture to improve performance on particular applications.",1,[],1,2,2,5,Niche but important for model adaptation
Interoperability,"The ability of agents to communicate and cooperate seamlessly across different systems, platforms, and networks using established open W3C standards for agent metadata description, discovery, and communication.",1,[],1,3,2,6,Core for cross-platform collaboration
Agent Communication Protocol,"The open protocol used by agents to communicate with each other, allowing flexibility in choosing the best transport protocol for each agent's purpose. Agents can select and adapt protocols based on their needs.",1,[],1,3,2,6,Core for cross-agent communication
RunContext,"A data structure containing the context and dependencies required by an agent during execution. RunContexts provide a way to pass complex data structures between tools, instructions, and other components of the agent framework.",1,[],1,2,2,5,
Function,"A unit of code within a plugin that performs a specific operation, often annotated with semantic descriptions for the AI to understand its behavior.",1,[],1,2,2,5,
Semantic Description,"A detailed description of how a function behaves, including input, output, and side effects, allowing the AI to correctly call the function.",1,[],1,2,2,5,
Task Automation,"The use of plugins to automate tasks, often involving human-in-the-loop approval processes to ensure task completion correctness.",1,[],1,2,2,5,
Kernel,"The core component of the Semantic Kernel framework, responsible for managing agent interactions, executing tasks, and providing services to agents. The kernel acts as a central hub for agent communication and coordination.",1,[],1,3,2,6,
Service,"A reusable function or module that provides specific capabilities or functionality to agents within the kernel. Services can be used to perform tasks such as chat completion, planning, or data retrieval.",1,[],1,2,2,5,
ChatCompletion,A service provided by the kernel for generating human-like responses to user input. Chat completion services use AI models to generate text based on context and conversation history.,1,[],1,2,2,5,
Code Agent,"A type of agent that writes its actions in code to invoke tools or perform computations, enabling natural composability (function nesting, loops, conditionals).",2,['CodeAgent'],1,2,1,4,Consolidated from 'CodeAgent' and 'Code Agent'
Tool Calling Agent,An agent that supports usual JSON/text-based tool-calling for scenarios where that paradigm is preferred.,2,['ToolCallingAgent'],1,2,1,4,Consolidated from 'ToolCallingAgent' and 'Tool Calling Agent'
LiteLLMModel,"A model that provides access to 100+ LLMs via a unified interface, allowing for easy switching between different models and providers without modifying code.",1,[],1,3,2,6,
InferenceClientModel,"A gateway for all inference providers supported on Hugging Face, enabling seamless integration with various models and services while maintaining framework-agnosticism.",1,[],1,3,2,6,
Model Context Protocol (MCP),A standardized interface allowing agents to interact with external tools and access real-world data beyond their language capabilities through STDIO or SSE MCP servers.,1,[],1,2,2,5,
AgentOS,"A deployment and management platform for AI Agents, providing a K8s-based FastAPI runtime, metric dashboard, and on-premise availability for scalable, isolated, and secure agent integration.",1,[],1,2,2,5,
Safety Engine,A component that ensures the safe operation of agents by detecting and preventing potential risks or errors. Safety Engines are integrated into the Upsonic Framework to provide a safety-first approach to AI development.,1,[],1,2,2,5,
"MCP (Model, Component, Pipeline)","A modular construct that combines models, components, and pipelines to define an agent's behavior and interactions. MCPs enable flexible and reusable agent designs within the Upsonic Framework.",1,[],1,2,2,5,
Graph Execution,"A mechanism for executing tasks in a graph-based architecture, allowing for complex workflows and dependencies.",1,[],1,2,2,5,
AgentRunContext,An internal context object used to manage the execution of tasks and workflows within an agent.,1,[],1,2,2,5,
Supervisor Agent,A central agent responsible for coordinating and managing the workflow between specialized agents in a multi-agent system.,1,[],1,3,2,6,
Embedding,"A high-dimensional representation of text or other data, used to capture semantic meaning and relationships between entities. Embeddings enable agents to perform tasks like similarity search, clustering, and recommendation systems.",1,[],1,3,2,6,
Trigger,"An event or condition that captures external input, such as a GitHub webhook or cron schedule, and initiates an agent's workflow.",1,[],1,2,2,5,
Human-in-the-Loop Workflow,"A type of workflow that coordinates multi-step processes and allows for human input at specific points, enabling agents to pause execution and wait for user decisions before continuing.",1,[],1,2,2,5,
Deep Agent,"A type of agent built using the Deep Agents SDK, capable of handling complex tasks, managing large context, and persisting memory across conversations.",1,[],1,2,2,5,
Agent Harness,"The core tool calling loop that enables building and executing agents, providing a standardized interface for various agent frameworks.",1,[],1,2,2,5,
LangGraph Runtime,"A runtime environment that supports durable execution, streaming, human-in-the-loop, and other features for agents built using the LangChain framework.",1,[],1,2,2,5,
